CSP17CD,CSP17NM,FID
E22000303,Aylesbury Vale,1
E22000162,West Lancashire,2
E22000098,Tewkesbury,3
E22000304,Bracknell Forest,4
E22000305,Cherwell,5
E22000163,Wyre,6
E22000164,Blaby,7
E22000306,Chiltern,8
E22000307,Milton Keynes,9
E22000165,Charnwood,10
E22000166,Harborough,11
E22000308,Oxford,12
E22000309,Reading,13
E22000167,Hinckley and Bosworth,14
E22000168,Leicester,15
E22000310,Slough,16
E22000311,South Bucks,17
E22000169,Melton,18
E22000170,North West Leicestershire,19
E22000312,South Oxfordshire,20
E22000313,Vale of White Horse,21
E22000171,Oadby and Wigston,22
E22000172,Rutland,23
E22000314,West Berkshire,24
E22000315,West Oxfordshire,25
E22000173,Boston,26
E22000174,East Lindsey,27
E22000316,Windsor and Maidenhead,28
E22000317,Wokingham,29
E22000221,King's Lynn and West Norfolk,30
E22000175,Lincoln,31
E22000176,North Kesteven,32
E22000318,Wycombe,33
E22000099,Bolton,34
E22000222,North Norfolk,35
E22000177,South Holland,36
E22000319,North Warwickshire,37
E22000100,Bury,38
E22000223,Norwich,39
E22000178,South Kesteven,40
E22000320,Nuneaton and Bedworth,41
E22000101,Manchester,42
E22000179,West Lindsey,43
E22000224,South Norfolk,44
E22000321,Rugby,45
E22000180,City of London,46
E22000102,Oldham,47
E22000233,Corby,48
E22000326,"Herefordshire, County of",49
E22000181,Knowsley,50
E22000103,Rochdale,51
E22000235,East Northamptonshire,52
E22000332,South Worcester,53
E22000182,Liverpool,54
E22000236,Kettering,55
E22000104,Salford,56
E22000333,Telford and Wrekin,57
E22000237,Northampton,58
E22000183,Sefton,59
E22000105,Stockport,60
E22000239,Wellingborough,61
E22000335,Birmingham,62
E22000184,St. Helens,63
E22000244,Gateshead,64
E22000106,Tameside,65
E22000336,Coventry,66
E22000245,Newcastle upon Tyne,67
E22000185,Wirral,68
E22000107,Trafford,69
E22000246,North Tyneside,70
E22000337,Dudley,71
E22000186,Barking and Dagenham,72
E22000247,South Tyneside,73
E22000108,Wigan,74
E22000338,Sandwell,75
E22000248,Sunderland,76
E22000187,Barnet,77
E22000110,East Hampshire,78
E22000339,Solihull,79
E22000251,Ashfield,80
E22000188,Bexley,81
E22000340,Walsall,82
E22000111,Eastleigh,83
E22000252,Bassetlaw,84
E22000189,Brent,85
E22000341,Wolverhampton,86
E22000112,Fareham,87
E22000255,Mansfield,88
E22000190,Bromley,89
E22000342,Bradford,90
E22000256,Newark and Sherwood,91
E22000113,Gosport,92
E22000191,Camden,93
E22000257,Nottingham,94
E22000343,Calderdale,95
E22000115,Havant,96
E22000192,Westminster,97
